,content
488,"devolever..kenapa sekarang setiap mau masuk tiktok sllu keluar terus ya?and hp jd panas, ngebug parah, apknya baguss menghibur. tapi setelah update jadi kek gni.. tolong di perbaiki lagi yaa... terimakasi."
489,"dulu baik"" saja,kenapa sekarang sering banget ga bisa di buka,keluar logo saja dan ga bisa masuk,kqlo di uninstal dan di instal lagi baru bisa masuk,tolong di perbaiki supaya pengguna nyaman seperti dulu,tanpa ngelag dan ga bisa masuk dan keluhan"" lain nya🙏🙏"
490,"Jelek banget lah, nge bug banget aplikasi lain yg di hp saya gk ngebug tapi cuman tiktok dong yg ngebug parah, tolong di perhatikan lagi bikin hp orang rusak aja, sebagusan tiktok versi china punya, setiap pembaharuan tidak terjadi masalah"
491,"Tiktok knp sih... Jadi bikin ngelag hp? Setiap buka tiktok cuma muncul logo aja, nggak masuk masuk. Bikin hp jadi ngefreez dulu akhirnya berimbas ke yg lain. Tolong solusi, nggak sekali 2kali begini"
492,"To tik tok Kenapa ya akhir² ini sering tidak terbuka aplikasi dan walaupun terbuka untuk masuk ke video sangat²lama,jadi saya harus uninstall dulu selanjutnya instal lagi baru mau terbuka tolong diperbaiki"
493,"Tiktok lagi kenapa ya? Buka aplikasi cuma logo aja, trus coba uninstal, dan instal lagi draft hilang semua😭, tolong diperbaiki dan tindak lebih lanjut supaya pengguna bisa lebih nyaman tanpa ada bug atau ngelag😔"
494,"Video nya bagus,juga bisa baca cerita cerita pendek,tapi tolong...ada masalah,tiap mau buka tiktok pasti kalau sudah dibuka beberapa kali,tiba tiba tidak bisa dibuka,saat ditekan malah hanya muncul logo,dan tidak bisa masuk,jadi saya harus mendownload ulang,ini sudah berulang kali terjadi,mohon diperbaiki."
495,"Tiktok memang aplikasi yang sangat seru dan menyenangkan di saat bosan dengan menonton tiktok rasa bosan pun hilang tapi, ada kekurangan tiktok selama apdet tiktok lama lama gk jelas banyak virus nya HP saya gadang ngelek kadang mati sendiri saat membuka tiktok., """""
496,"Kenapa harus kek gini tiktok leg terus gak bisa di buka mohon di perbaiki lagi,capek harus menghapus dn daftar agar bisa buka tiktok tolong di perbaiki demi kenyamanan semua🙏, Terulang lagi tiktok sering gak bisa di buka udah upgrade masih tetap sama sangat kecewa"
497,"Maaf mau nanya, kan aku udah update nih ya tpi knpa belum ke update ya? Pdhl semua apk bisa di update tpi tiktok doang yang ngga bisa. Terus jg logo keranjang buat belanjannya jg kgk ada. Dihh sebel bet dah Kasih solusi dong kak/bang"
498,"Setelah update, aplikasi gak bisa dibuka. Biasanya pemakaian ram hanya sampai 2,6Gb, tapi saat aplikasinya gak bisa dibuka malah membuat hape ngelag dan pemakaian ram sampai 3,3Gb dari 4Gb"
499,"Cape banget sama tiktok yg sekarang astaga , sering ga bisa di buka jadi harus di uninstal dulu terus download lagi baru bisa , tpi masa harus begitu terus setiap hari .. Gimana sih tiktok , tolong dong di perbaiki ..."
500,Tolong diperbaiki . Knpa tiktok setelah di perbaharui semakin berat padahal ram masih banyak apk yang di jalannya hanya wa dan tiktok saja!!!!!
501,"Ini kenapa tik tok sekarang susah banget masuk,kalau pun masuk paling cuma di logo nya aja,gak sampai ke video.makin lama bukan nya jadi bagus malah gak bisa di pakai,harus di hapus dlu baru instal lagi biar bisa masuk"
502,"tiktok semakin eror setelah diupdate hanya muncul logo nya saja tidak bisa dibuka harus uninstall dan install lg baru bisa terbuka sudah beberapa kali seperti itu terus, tolong pihak tiktok perbaiki lagi aplikasinya agar bisa membuka tiktok dgn nyaman lagi"
503,"Update bukan tambah bagus malah tambah berat...main tiktok dalam jaringan lancar trus charge 100% full, bisa langsung turun 60% dalam waktu 45 menit,padahal hp yang saya gunakan masih sangat normal dan kapasitasnya besar..."
504,"Setelah update terbaru saya pertanggal 21 September 2023, Aplikasi nya GK bisa dibuka hanya logo saja, sangat berat dan lambat, sepertinya banyak bugsnya.. tolong dong diperbaiki sebelum nanti ditinggal para penggunanya."
505,"TikTok ku akhir"" ini sering eror, susah dibuka, bahkan kadang aku kalo buka TikTok harus di playstore dulu, trus aku juga pernah uninstall trus aku install lagi karna ga bisa di buka. TikTok ku ga bisa di bukaaa😭😭 Padahal udah aku update"
506,"Monetisasi video dong buat creator tiktok adain biar video kita bisa mendapatkan penghasilan, jadi gak perlu nunggu yang kirim"" give buat menghasilkan uang, kalo di adain fitur monetisasi videonya semoga tiktok bisa bersaing dengan YouTube dan fb dan menjadi aplikasi yang bisa menghasilkan uang."
507,Tolong ada bug yang dimana aku gkbisa masuk ketiktok nunggu Ampe Berjam jam gk masuk masuk padahal aku gk pake mod atau cit aku jadi bosen gk bisa nonton tiktok biasanya bisa tolong perbaiki masalah ini ya developernya jangan dibiarin trus aku udh hapus semua data cache memory dan virus yg ada tapi masih gitu tolong diperbaiki
508,"tiktok ini kenapa ya setiap aku buka aplikasi nya gabisa? sudah 2 kali saya harus unistall aplikasi ini dulu baru bisa buka, mungkin bug atau emang hp ku? jika bug atau ada gangguan saya berharap segera di perbaiki"
509,"Udah seminggu terakhir ini bug di app lo gak dibenerin. Masa; 1. Buka app stuck di logo 2. Hp jadi nge hank, jadinya di restart paksa 3. Solusi yg gue tau cuman unnistall-install app lo ini Sampai gak ada update terbaru gue kasih bintang 1 dulu"
510,"Kepada developer tiktok,,saya dari tiktok mengetahui konten konten digital, tapi tolong dong hp saya ram 2 serasa berat bangtt:),lebih berat dari ml,, saya mohon segera di perbaiki kepada tiktok supaya pengguna hp kentang bisa kembali normal seperti semula #k3luhanhpkentang"
511,"kesel banget sekarang sama tiktok, kalau dibuka selalu gabisa atau selalu muncul logonya doang, harus dihapus terus download lagi bikin males, semakin bikin males pas tiktok shop di tutup, saya jadi gabisa beli barang di tiktok shop, padahal harganya murah""."
512,Tolong ya setelah di update ini kok semakin error' ya ga bisa di buka dan cuma keluar logo nya mohon lebih di perhatikan lagi dalam peng updatean aku kira hp ku yg ngeleg ternyata setelah membaca beberapa ulusan ada yg sama masalah nya.Sekali lagi mohon untuk tiktok kebenaran nya dalam peng update an
513,"Kezel banget sama tik tok gara2 aplikasi ini yang macet hp saya jadi ikut macet gak bisa dipencet layar cuma logo tiktok n kada full Hitam .kalo apk ini diuninstal normal kembali ,saya dowload ulang karena masih ada pesanan yang blm selesai . Padahal tadinya gak gini setelah pembaharuan malah gini .ini sangat mengganggu 1 jam lebih hp saya gak bisa digunakan kalo pas buka tiktok LG eror"
514,"Sumpah udah bolak balik buat donlot lagi tiktok, kenapa dahhh kalo mau buka tiktok tiba tiba lag, ga bisa kebuka. kesel donlot donlot donlot mulu, kenapa sih? Ribet tau ga, mau tiktokan enak enak malah lag lagi lag lagi. udah donlot tiktok sehari bisa 4 kali, gendenggggggg"
515,"Heran, masak setiap hari kalau mau buka tiktok harus uninstal dan instal lagi, kalau gk kayak gitu setiap di buka akan mentok di Logo dan setelah itu Hp jadi Bug 😌 tolong diperbaiki udah 3 hari begini, Hp jadi eror dan gk jalan Karena Setiap Buka Tiktok Langsung eror 😒"
516,"setelah update kok jadi aneh ya?? hp saya poco f1 pas buka aplikasi kadang"" stuck di logo dan juga hp saya tiba-tiba lag semua kayak ada virusnya ni aplikasi.saya hapus terus install lagi awal-awal lancar tiba-tiba kumat lagi GAJELAS!!"
517,"Akhir akhir ini tiktok setelah update banyak hal terjadi entah itu ngelag dan ngebug , dan ini yang sering saya alami, knp pas saya buka tiktok malah g kepencet trus pas masuk lama banget pas keluar g ada tu bekas apk tiktok Tolong di perbaiki🔪"
518,Tiktok tambah kesini tambah jelek aja .. Tiap mau buka cuma muncul logonya aja nggak bisa di buka .. Terus tiap hari harus downdload hapus dan download lagi .. Tolong di perbaiki sistemnya terimakasih
519,"ini tiktok lagi kenapa sih? suka banget keluar sendiri dari aplikasi, malah seringgg bangett. Ini tolong di perbaiki ya, ga cuma itu.. tiktok kenapa menghapus tiktokshop? kasian loh penjual² di tiktok yg udh berusaha semaksimal mungkin. Apalagi yg udh tua.. ada bener ya juga aplikasi medsos dan e-commerce ga boleh di gabung.. tpi diskon diskon tiktok nya lumayann 😭😔, lain kali di perbaiki ya Developer Tiktok."
520,"akhir² ini tiktok sering lag gajelas, setiap mau buka tiktok hp langsung down dan mati sndiri stelah uninstall tiktok hp baru ga down lagi. kirain hanya hp saya yg bermasalah tapi setelah saya tanya ke temen saya ternyata tiktok punya dia juga sama seperti itu. mohon di perbaiki ya tiktok, kalau lama² tetap seperti ini lebih baik saya uninstall permanen"
521,"Tiktok, dari tanggal 24 September sampai saat ini saya tidak bisa membuka tiktok sama sekali hanya muncul layar lalu HP saya lag, saat saya tanyakan kepada teman teman saya mereka mengalami hal yang sama, tolong diperbaiki tiktok, saya bosan tidak melihat tiktok selama 1 minggu."
522,"Ud 3 x install ulang hp krn d kira hp yg bermslah, ternyata aplikasi tiktok nya bkin eror, setelah di update malah bkin bug hp. Tlong dong developer segera diperbaiki, klu g bkal bnyak yg uninstall tiktok nantinya, krn bkin hp ngebug setiap mau buka tiktok, tiktok g kebuka hp nya malah ngebug g bisa apa apa, mesti dimatiin bru bisa jalan lg, kan sayang klu sampe terjadi uninstall aplikasi massal"
523,"Kenapa akhir akhir ini tiktok gangguan terus, setiap membuka cuma sampe logo tiktok saja dan berat sekali pdahal HP saya ram 8 tapii kenapa jadi parah harus uninstall dowload ulang lagi terus terusan bgtu!!! Mana tanggapan nya"
524,"Saat dipakai hanya terlihat logo, dan jika kembali ke layar utama hp nya malah ngehang. Mohon untuk diperbaiki, aku udh uninstall, download, uninstall, download, uninstall, download baru bisa. Begitu berulang kali, lebih dari 3x"
525,Kenapa akhir² ini tik tok sering ngelag ya?mau buka aplikasi tik tok lama banget tiba-tiba keluar sendiri jadinya semua aplikasi ikutan ngelag juga. Tolong di perbaiki lagi!!
526,"tiktok sekarang kok nggak bisa di buka ya?, kalau tiktoknya di buka malah ngestuck di logo tiktoknya terus kalau keluar dari tiktoknya hp langsung ngelag dan aplikasi yang lain juga ikut ngelag, bahkan membuat hp ngehang sampai macet tidak bisa di gerakan, bahkan hp saya bisa sampai mati, jadi seolah olah tiktok ada virusnya, hp saya ram 4/64 dan memori hp nya masih banyak karena saya reset hp nya, saya kira memang hp saya yang ngehang, ternyata gara gara tiktok, PERBAIKILAH SECEPAT MUNGKIN !!!"
527,"apk tiktok benar2 kacau akhir2 ini, apa hanya aku doang?? masa iya sih aku udah hapus trs instal lagi... besoknya gak bisa kebuka lagi hapus lagi instal lagi.. emang harus gitu mulu... plisss dong di benerin apk nyaa....."
528,Selama ini oke2 aja pake tiktok .. Tapi kenapa skrg jadi error??????? Pliess. Tiktok diperbaiki lagi donk...eman udah banyak penggemar malah gak bisa difungsikan ....hiks hiks...syedihh...kacihan...
529,"Tiktok kenapa sekarang sulit untuk di buka dan sering macet kalaw dibuka, harus di unistal dulu baru di instal ulang baru bisa dibuka, tolong lah perbaiki lebih baik lagi dan buat nyaman para pengguna tiktok,"
530,"Setelah update tidak bisa terbuka. Hanya logo tiktok saja muncul sebentar lalu pergi begitu saja spt hantu. Uninstall dan install lagi, akhirnya bisa jalan. Besoknya terulang lagi. Apa iya harus tiap hari unisntall dan install tiktok bro? Hayati lelah. Ini indikasi apa sih? Tolong beri solusi, sepertinya banyak yg punya permasalahan serupa. Kondisi hp sendiri dlm keadaan prima"
531,"Terjadi bug aplikasi tidak bisa di buka, hanya stuck di logo tiktok saja, harus di uninstall ulang baru bisa di buka, tolong di perbaiki,karena ini sering terjadi dan semua orang juga mengalami ini"
532,"Sekarang setiap buka apk TikTok selain lama dan cuma munculin logonya doang, habis itu HP ke restart sendiri. Padahal ruang memori masih banyak bahkan udah hapus apk lain tapi sama aja setiap buka tiktok mengulang lagi HP ke restart sendiri"
533,"Bagus tapi setelah di update nge lek terus + ndonlout nya lama , Tapi menguntungkan soalnya dapat poin yang bisa di tukar dengan uang. Terus mohon di perbaiki hp saya rusak (eror) karena tiktok"
534,"tik tok kenapa si makin kesini makin gajelas, aku uda berkali-kali uninstall tiktok grgr tiktoknya loading terus gabisa dibuka dan bikin hp jadi ngelag! tolong di perbaiki, bug ini merugikan orang banyak !"
535,Tolonggg perhatian kenapa saya setelah menggunakan tiktok seharian tetapi subuhnya tiktok terjadi bag tolong perhatikan aplikasi tiktok tidak bisa di buka kembali seperti tidak support. Saya harus menghapus aplikasinya terlebih dahulu lalu menginstal ulang lagi ini sangat merepotkan selain pemborosan saya sebagai pengguna merasa kecewa!
536,"Saya penguna tiktok dari tahu 2020 saya sangat terbantu dengan aplikasi tiktok,tapi kok sekarang pas saya buka tiktok kok ngk bisa cuma logo tiktok nya aja yang ada udh ditunggu beberapa menit tetep aja biasanya ditunggu beberapa detik aja udah ada video nya tapi sekarang kok GK ada ya ,mohon untuk kreator tik tok tolong dibenahi 🙏🙏"
537,"Coba perbaiki lagi,ga jelas tau tiktok nya ga bisa di buka,ga seru , minimal perbaiki dulu kalo mau banyak yg puas,gimana si udah ngeleg,eror,cepet panas,ga bisa di buka, sering update,dah 5 kali gw download ulang"
538,"Tik tok kenapa ini, pas di bukak kok ga bisa? cuma muncul logonya aja itu lama bgttt.... sekali udah ku uninstall lalu install lagi baru bisa di buka masa iya setiap mau buka tik tok harus uninstall dulu trus install lagi. tolong lah di perbaiki... banyak juga yang mengeluh dgn keluhan yang sama, tindakannya mana ini"
539,Saya sangat suka sekali lagu lagu ny lagian bagus kok saya sangat suka thank you sekali ya saya suka loh pada lagu atau musik ny saya terima ksih sekali kepada kalian saya sangat suka kok terima kasih maaf apabila ad kesalahan dalam penulisan nama atau gelar
540,"Maaf jika saya kasi bintang 3 , dikarenakan akhir² ini tiktok banyak update dan kadang error' g bisa kebuka karna hal itu apk yg lain kena jadi bug semua sampai² harus hapus apk yg lain ,udh dihapus tetep lag ternyata hal ini dari tiktoK🙏"
541,"setelah di update tiktok makin lemot terus enggak bisa di buka aplikasi nunggu uninstall dulu terus install lagi baru bisa !!! tolong yaa kerjasamanya , semoga cepat pulih kembali"
542,"Gajelas, Tiktok selalu stuck logo dan membuat handphone restart tidak tahu kenapa begitu tapi tiktok juga semakin lama dipenyimpanan semakin berat dan memberatkan pengguna, entah apa yang ada di tiktok, saya hanya ingin bug tiktok dihilangkan, bug tentang stuck logo lalu crash sehingga handphone saya restart"
543,"Setelah saya update tiktok, tiktok semakin ngaco buka tiktok cma stuck di logo doang, trus lama lama hp nya mati tolong segera di perbaiki!! Banyak orang yang mencari uang dari tiktok mohon segera di perbaiki secepatnya!!"
544,"Tolong tiktok aplikasi sering ga bisa masuk apk, harus unistal apk terus intal lagi. masuk tiktok kembali bisa tapi selang beberapa lama mulai lagi seperti itu."
545,"Setelah lihat-lihat ulasan yang lain ternyata saya baru sadar aplikasinya yang bermasalah bukan hp saya. Beberapa Minggu ini hp saya ngelag parah seperti ada virusnya. awalnya saya mau buka aplikasi tiktok tapi stuck di logo aja. Sehabis itu buka aplikasi lain itu jadi lelet juga, akhirnya hp saya sering saya restart saya buka lagi apk tiktoknya jadi ngelag parah lagi. Setelah saya uninstall tiktok baru hp saya lancar lagi 🙃"
546,Kasih bintang 3 aj dulu ... maaf tolong di perbarui lgi dong ...semakin hari semakin berat tiktoknya di tinggiin ya ini kok hp saya ramnya semakin habis ruwanganya...tolong lah di perbaiki...buwat para ram kecil bisa nyaman pakai tiktok jadi bisa merakyat
547,"Ya sejujurnya bagus, normal. Tapi kenapa saat saya inging upload foto, fitur swipe tidak ada. Padahal saya sudah update, saya tidak tahu ini masalahnya di mana. Apa hp saya?? Apakah fitur ini tidak tersedia untuk hp realme c11. Tik tok tolong🥲"
548,"Sya penguna tik tok yg sudah 5 th an penikmati bermacam konten yg bagus tpi saat 2 ini kenapa ya aplikasinya sering sekali eror,atau GK bisa di buka ,,,lama2 sya merasa jenuh juga dengan hal ini,coba di perbaiki biar bisa eksis dan bayak yg suka"
549,"apasih kok akhir² ini jadi sering error gak bisa di buka, orang mau nonton video bukan mantengin logo doang, bikin kerjaan aja uninstall terus install lagi. Ini aja udah yg ke 2 kali uninstall"
550,"Masa setiap hari harus install uninstall aplikasi buar bisa di buka, sering nge freeze cuma lambang tiktok nya yg kebuka, gimana sih makin kesini makin kacau tolong di benerin dong udah sebulan gini terus."
551,"Tik tok tolong di perbaiki kembali, akhir akhir ini tik tok saya sering mengalami error, dan kenapa fitur posting ulang di hapuss???? ini fitur ngebantu banget lohhh padahal"
552,Tiktok aneh klo mo buka tiktok harus di uninstal dulu terus di instal lagi baru bisa di buka padahal banyak notifikasi yg masuk dari tiktok tapi pas mau di buka gak bisa harus di apus dulu aplikasinya terus di download lagi baru bisa di buka
553,"Sama seperti teman2 yg lain tiktok pas di buka hanya kelihatan logo sampe hp mati sendiri,,, tolong di perbaiki,,,giliran saya download ulang,, hanya sehari bisa di buka ,, setelah itu sama lagi seperti di awal"
554,"Semenjak tiktok update skrg udah sulit untuk membuka app ny kdg cma mncul logo ny doang. Sudh dtggu slama bbrapa menit tda terbuka buka. Mohon diperbaiki aplikasi nya y, smpai"" Saya menghapus tktok llu dwnload lgi sya pikir bawaan hp saya, tpi intrnet lncar aj. Rupany bawaan dri app ny sndiri.mohon di perbaiki ya.. Pdhl dlu bgus bgt app nya nih. Tksh"
555,"Mohon di perbaiki. Tiktok kenapa sekarang setelah di update jadi makin berat ya, sering sekali kalau di buka hanyak Keluar logo aja ,harus uninstall dan install lagi baru bisa ke buka."
556,"tiktok sekarang knpa sih aneh bgt? masak dibuka gak bisa harus dihapus dulu tiap hari harus hapus unduh terus .terus klo masukin kta sandi sllu salah padahal benar kta sandinya diulang berkali2 baru bisa masuk ke akun, terus bisa2nya email dan no.hpnya tidak terdaftar coba kek mana sih aneh bgt skrang😏"
557,Saya suka ini apk tapi pas aku masuk kok gak bisa. Saat masuk itu loh cuma keliatan gambar doang padahal internet lancar banget loh. Tolong ya pembuat tiktok perbaiki sistem nya dan saya merasa tidak nyaman jadi tolong di perbaiki sistem nya nanti ku kasih bintang 5
558,Setelah di update tiktok sekarang jadi aneh pas mau masuk lama mana jadi lage lagi capek tau harus download lagi di hapus lagi di download lagi di hapus lagi capek tolong ini. Kalau mau update itu yang bener jangan kayak gini
559,"Tiktok kenapa ya?aplikasinya sering ga bisa dibuka,.harus diunistal dulu baru instal lagi baru bisa dibuka normal,.begitu terus tiap mau buka tiktok..padahal obat galau ya buka tiktok loh..tolong perbaiki ya min..terima kasih"
560,"Tolong untuk pembuat tiktok ya tolong perbaiki ini, tiktok sering update setiap 4 hari main tiktok yang ke5 harinya pasti patah patah, ngelage, dll sering sekali saya hapus dan donload lagi dan sering saya muat ulang sebenarnya apa sih yang buat tiktok jadi begini coba jelaskan dan perbaikilah padahal tiktok ini adalah apk yang sangat menghibur tapi kenapa lama kelamaan malah rusak tiktok nya dan tapi selang berapa menit tiktok nya mendal"
561,"TikTok akhir-akhir ini jelek banget, saya pake hp poco f1 suka force close terus, abis itu gak bisa di buka lagi aplikasinya, harus reinstall baru bisa di buka, abis itu force close lagi, gitu aja terus 🤬"
562,"Tiktok sekarang berat banget, tiap mau buka apk selalu ngestak gabisa kebuka, jadinya hp langsung eror, ngeleg, panas, macet dan lelet, apk lainnya juga ikutan ngeleg, hp harus direstar dulu baru nggak eror, mau buka tiktok kayak buka bom, takut meledak karna panasnya hp, tolong dong diperbaiki lebih baik lagi, karna pengguna tiktok sekarang makin banyak termasuk saya, udah beli paketan mahal tapi apk tiktoknya gabisa dibuka malah bikin hp jadi erorrrrr"
563,Tik tok kenapa sekarang jadi jelek bgt?! Kenapa suka nge bug aplikasinya? Yakali aku mau buka tik tok harus uninstal terus di instal lagi gituuu terusss. Tolong yaa tik tok di perbaiki lagi aplikasinya
564,Apasih ini tiktok kenapa kalo buka tiktok cuma muncul logonya doang terus ngebug ke hp saya dan harus saya matiin dulu baru normal lagi tolong lah katanya apk terbesar sekarang kok gini sih yang bener dong kesel banget dari semalem!! perbaiki tu hp orang jadi ikutan ngebug bukan hp aku aja tapi temen temen aku juga ngalamin yang sama!!!
565,"Tolong tiktok bag nya di perbaiki, sya tidak bisa buka tiktok, Padahal tiktok adalah hiburan satu satu nya Tong untuk tiktok segera di perbaiki, saya harus meng uninstal dan mendowload nya lagi, itu sangat merusak hp saya, Tolong segera diperbaiki"
566,"SUDAH HAMPIR 1 BULAN saya tida bisa membuka apk tiktok, hanya stuck di logonya saja, jika memang ada kesalahan dari aplikasi ini mohon bantuannya. TOLONG DIPERBAIKI!!!!"
567,"Sangat berat di hp saya sudah dari jaman covid pertama kali install tiktok baru tahun ini hp saya error gak bisa nyala hanya karna aplikasi nya yg berat,,waktu tiktok dihapus hp sya bisa nyala normal secara ajaib,,kalau memang tidak terlalu penting aplikasi tiktok bisa dihilangkan dari hp anda."
568,"Kenapa sih tiktok padahal udah di update kok seminggunya lagi harus update lagi, apa lagi pas lagi buka aplikasinya malah ngelag cuman muncul ikonnya doang apa lagi ngelagnya hampir ke semua aplikasi. Emangnya harus di update seminggu sekali gak sihh ngeribetin aja ya ngelag lagi, maaf aku kasih bintang satu karena perangkat hp aku gk bisa di apa apain karena cuma buka tiktok langsung hpku jadi ngelag."
569,"tiktok aku kenapa ga bisa dibuka ya ? udah dua harian, ngestuck terus di logo tiktok nya, ditunggu 30 detikan juga belum bisa, padahal biasanya bentar dan ga nyampe 30 detikan, tlg diperbaiki ya thanks,"
570,"Yang terhormat, tiktok. Sungguh,saya sebagai pengguna tiktok dan juga pengonten tiktok saya kecewa berat. Akhir akhir ini, tiktok selalu ngak bisa dibuka. Padahal ram, memori saya masih banyak dan cukup. Dan saya liat liat bukan hanya saya yang mengalami masalah ini. Banyak juga yang mengalami masalah ini karena tiktok ngak bisa dibuka dan dibilang tiktok tidak merespon/menanggapi. Pls tiktok, bantu kami yang sdng memakai tiktok untuk sumber uang.. Terimakasih, yang terhormat tiktok."
571,"bug nya benerin, setiap buka tiktok selalu force close atau stuck logo, saya harus uninstall dan donlowad lagi agar bisa membuka tiktok lagi, itu pun hanya bertahan 2/3 hari saja, mkhon untuk devloper perbaiki bug tersebut"
572,"mohon untuk segerea di perbaiki bugnya ,masa setian 1x12jam selalu stuck di logo tiktoknya doang ,harus unistal dulu hpnya di matiin hbis tu instal lagi baru bisa normal tiktoknya ,klo gak niat memperbaiki ya jangan ngasih bug.. yang make android 10 pasti gitu masalahnya stack di logo habis itu free ramnya tilnggal 500mb masa iya apknya makan 5.5gb ram??"
573,Dengan Ada nya aplikasi tik tok .. Suasana setiap hari .jadi terhibur Sekarang aplikasi tiktok sering update. kadang bisa terbuka. kadang juga tidak bisa Perbaiki lagi Ya .
574,"tik tok kenapa sih ngebug kah atau gimana udah berkali-kali kalau buka apk nya cuman logo aja+kalau mau bisa lihat harus uninstall trs install lagi dan itupun berkali-kali saya begitu kali ini kaya gitu lagi tolong dongg gimana sih gajelas banget,bagus sih bagus cuman ya bug nya virusnya hilangin lah ganggu banget plis , dari kemarin-kemarin ini kaya gini terus gajelas"
575,"Berat kalo tiktokshop distop: 1. Orang² butuh murah 2. Orang² butuh banyak pilihan 3. Orang² butuh pelayanan cepat 4. Orang² butuh barang yg dicari cukup tersedia 5. Orang² tidak mau repot 2x (transport & zonk) Kalo offline resikonya: 1. Harus repot nawar 2. Pilihan terbatas 3. Pelayanan lambat apa lagi (nunggu inden) 4. Jauh² datang belum tentu yg dicari ada 5. Harus biaya transport, tenaga dan blm lg kalo sudah sampe ternyata barang tidak ada dan mauga mau harus beli barang yg tidak seharusny"
576,Knp ya akhir akhir ini tiktok sering kali gak bs dibuka..tiap buka hny muncul logo aja..ditunggu pun gak msuk2.. Ad apa dengan tiktok..smpe sy uninstall.. trus install lagi.. Ini ud yg ke 3x sy copot pasang terus.
577,"ini apk tiktok saya kenapa ya kok ga bisa di buka, tulisan nya tidak ada koneksi internet dan coba lagi padahal untuk buka yt dan apk lain lancar, tadi nya ga kenapa kenapa kok bisa tiba tiba seperti ini ya, mohon bantuannya"
578,Terkadang tik tok memang media sosial yg sangat menarik dan bagus akan tetapi beberapa hari ini hp saya jadi ngefrez terkadang apa mungkin di tik tok ada virus nya atau gimana? Saya kalau log ke apk lain gk ngefrez atau ngeleg jadi mohon dari pihak tik tok atas keluh kesah saya
579,Kenapa tik tok saya sering stuck di logo dan tidak bisa melihat vidio yg ada padahal sisa ram saya masih 10GB namun stuck logo yg saya lakukan untuk memperbaiki stuck harus di hapus lalu didownload lagi ini sangat merepotkan dan boros kuota
580,"Tik tok kenapa sih sekarang,,pas waktu mau buka apk nya tiba² nge lag sampe² bikin hp low dan pas di hapus kemudian di download lagi bisa,,tapi hanya bertahan 3 harian aja,,tolong di perbaiki lagi ya 🙏"
581,"semakin di update kok semakin jelek aja,susah buat masuk,apk sering tiba tiba keluar.Apa lagi akun yg gk salah apa² pun tiba tiba di blokir,aneh,tolong dong pihak admin tiktok,di perbarui lagi yg seperti dulu."
582,Masak setiap hari saya kalo mau login gak bisa lalu harus hapus aplikasi tiktok dlu baru bisa login. SANGAT NGELAG sekali. Beda dengan tiktok yg dulu mudah buat diakses. Sdh update malah NGELAG terus2an. Hadeehh parahh
583,"Aplikasi gajelas,sering ngebug g bisa di buka sekarang,harus download ulang baru bisa dibuka.benerin lah bug ini ganggu banget asli, device oppo f7 Android 10, di hp xiaomi juga sering bug gini"
584,Sayang gak bisah klaim rewarnds. Karena di kunci. Gara2 Saya gak tau. Maklum baru pemula. Saya coba leve maen game pake kamera depan. Coba saya tau. Gak bakalan saya coba. Kalo bisah tolong jangan di kunci. Bos tiktok
585,"Aplikasi sering gk bisa di buka , loading nya lama padahal jaringan bagus ,pas buka aplikasi lain lancar banget , tpi pas buka tiktok , loading terus, Tolong di perbaiki"
586,"Tiktok skrng beda bgt sama dlu. Masa iya tiap buka aplikasi tiktok gak bisa cuma muncul logonya doang, smua cache udh di hapus ttep aja gak bisa ke buka 😏 parah ih Ayuk dong perbaiki lg sistemnya bnyak yg ngeluh tuh"
587,"Sekarang tiktok jd berat bgt, selalu nge stuck di logo tiktok gabisa masuk jd harus di uninstall dulu baru bisa dibuka jd semua video draft ke hapus, tlg di perbaiki.."
588,"Hp sy sampai restart sendiri, dalam 1 menit skali hp mati nyala sendiri. Saya coba hapus apk wa, masih tetep mati. Akhirnya sy coba hapus apk TIKTOK, langsung hp sy aman sampe sekarang. Tolong diperbaiki"
589,"aplikasi tik tok ini lagi kenapa yaaa, tiba' ga bisa dibuka saya download aplikasi tik tok ini udah beberapa kali. karena tiba' setiap dibuka g bisa lalu uninstal, terus instal lagi tolong diperbaiki 🙏🏻"
590,Yahh padahal ada barang murah dan bagus yang di troli pas mau chek out udh ga bisa lagi belanja lagi..gegara sudah di larang pemerintah..semoga tiktok bisa berjualan lagi karna barang² di tiktok shop murah-murah dan bagus serta gratis ongkir lagi 🥲
591,Saya kmrn tidak mengupdate aplikasi tiktok sama sekali dan dengan sendirinya terupdate. Setelah itu saya lihat tiktok saya malah keluar akun dan sekarang tidak bisa di buka sama sekali. Bagaimana ini tiktok tolong dong dengan bijak. Saya kehilangan akun saya dan saya juga tidak bisa mengembalikan akun saya yg sudah hilang tiba-tiba !
592,"Tiktok si bgus tpi makin update mkin harus bikin akun kalo bikin akun malah gede memorinya dulu like gk di bikin akun bisa di like saat ini malah gk bisa lgi tangan jdi gatel ngelikein akun tiktok org tpi jdi gk bisa,please aku cuma ngomong doang bukan mengejek,tiktok kok kaya aplikasi menambah memo emg gk ngerti klo hp memonya penuh bisa rusak? Itu saja."
593,"ini kenapa gabisa dibuka? bug bikin hp ngeheng menjalar kemana mana. saya pake tiktok lite ga gini gini amat, tapi kan enakan make yg ori. tolong dong benerin lagi, masa iya hp RAM 4GB gabisa make tiktok ori. semenjak update jadi lag parah!"
